Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Coreful Figure Miku Nakano - Gotoubun no Hanayome ∬ (20cm),Ready Stock,380000,160,Miku Nakano,Gotoubun no Hanayome,Prize Figure,Taito
PVC Figure 1/7 Traveler / Lumine - Genshin Impact,Late Pre-Order,2350000,160,Lumine,Genshin Impact,Scaled Figure,Kotobukiya
[Limited Production] Nendoroid Eren Yeager - Shingeki no Kyojin (Re-Release),Ready Stock,660000,160,Eren Yeager,Shingeki no Kyojin,Nendoroid,Good Smile Company
[Taito Crane Limited] Coreful Figure Zero Two - DARLING in the FRANXX (18cm),Ready Stock,450000,160,Zero Two,Darling in the FranXX,Prize Figure,Taito
Shibuya Scramble Figure 1/7 Albedo - Swimsuit Ver.,Ready Stock,6750000,159,Albedo,Overlord,Scaled Figure,eStream
[Cast Off] PVC Figure 1/6 Komiflo Image Character Komikawa Aoi Illustration by Mataro,Ready Stock,2950000,158,Komikawa Aoi,Original Character,Scaled Figure,OrchidSeed
PVC Figure 1/7 Klee - Spark Knight Ver. - Genshin Impact,Ready Stock,2650000,158,Klee,Genshin Impact,Scaled Figure,APEX
Nendoroid Itachi Uchiha Anbu Black Ops Ver. - Naruto,Ready Stock,680000,158,Itachi Uciha,Naruto,Nendoroid,Good Smile Company
Coreful Figure Nino Nakano - Seifuku Ver. (20cm),Ready Stock,650000,157,Gotoubun no Hanayome,Prize Figure,Taito,
Pop Up Parade Figure Kaguya Shinomiya - Kaguya-sama wa Kokurasetai,Ready Stock,480000,157,Kaguya Shinomiya,Kaguya-sama wa Kokurasetai,Pop Up Parade,Good Smile Company
PVC Figure Houshou Marine Relax Time - Hololive If (11cm),Ready Stock,320000,156,Houshou Marine,hololive production,Prize Figure,Banpresto
[Limited Production] figma Mona Megistus - Genshin Impact,Ready Stock,1240000,156,Mona Megistus,Genshin Impact,figma,Max Factory
Coreful Figure Megumi Kato - Roomwear Ver. (20cm),Ready Stock,380000,155,Saenai Heroine no Sodatekata,Prize Figure,Taito,
Coreful Figure Kurumi Tokisaki - Plain Clothes Ver. (18cm),Ready Stock,350000,155,Kurumi Tokisaki,Date A Live,Prize Figure,Taito
Nendoroid Umaru,Sold Out,870000,155,Umaru,Himouto! Umaru-chan,Nendoroid,Good Smile Company
Relax Time PVC Figure Minato Aqua - Hololive if (17cm),Sold Out,380000,155,Minato Aqua,Hololive,Prize Figure,Bandai Spirits
[Exclusive Sale] Nendoroid Eren Yeager - The Final Season Ver. Shingeki no Kyojin,Ready Stock,880000,154,Eren Yeager,Shingeki no Kyojin,Nendoroid,Good Smile Company
Nendoroid Makima - Chainsaw Man,Ready Stock,700000,154,Makima,Chainsaw Man,Nendoroid,Good Smile Company
(Set of 6) Genshin Impact Capsule Collection Figure Vol. 1,Sold Out,500000,154,Paimon,Genshin Impact,Mini Figure,Bushiroad Creative
Arknights Penguin Logistics Backpack Exusiai,Sold Out,540000,154,Exusiai,Arknights,Merchandise - Backpack,Tomorrow's Ark
[REVIVE] Shibuya Scramble Figure 1/7 Megumin - Explosion Ver.,Late Pre-Order,4950000,152,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,Scaled Figure,eStream
Herrscher of Flamescion Theme Sneakers - Honkai Impact 3rd (45 Size),Ready Stock,1180000,153,Kiana Kaslana,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
Pop Up Parade Figure Usada Pekora - hololive production,Sold Out,650000,151,Usada Pekora,hololive production,Pop Up Parade,Max Factory
[Exclusive Sale] PVC Figure 1/7 Houshou Marine - hololive production,Ready Stock,4500000,151,Houshou Marine,hololive production,Scaled Figure,Max Factory
PVC Figure Chizuru Mizuhara - Exhibition Ver. (18cm),Ready Stock,350000,150,Mizuhara Chizuru,"Kanojo, Okarishimasu",Prize Figure,Bandai Spirits
Nendoroid Kakashi Hatake - Anbu Black Ops Ver.,Ready Stock,730000,150,Kakashi Hatake,Naruto,Nendoroid,Good Smile Company
Hu Tao Theme Series Shirt (Size L) - Genshin Impact,Sold Out,880000,150,Hu Tao,Genshin Impact,Merchandise - Apparel,Mihoyo
[REVIVE] [with Acrylic Bonus] PVC Figure 1/7 Keqing - Driving Thunder Ver. Genshin Impact,Late Pre-Order,2850000,150,Keqing,Genshin Impact,Scaled Figure,APEX
Nendoroid Megumin - Konosuba (Re-Release),Ready Stock,640000,149,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,Nendoroid,Good Smile Company
Nendoroid Megumi Fushiguro - Jujutsu Kaisen,Ready Stock,1280000,149,Megumi Fushiguro,Jujutsu Kaisen,Nendoroid,Good Smile Company
Raiden Shogun / Baal Official 2022 Mousepad - Genshin Impact (70x40cm),Ready Stock,300000,149,Raiden Shogun,Genshin Impact,Merchandise - Mouse Pad,Mihoyo
PVC Figure 1/7 Kitagawa Marin - Swimsuit Ver.,Late Pre-Order,2970000,149,Kitagawa Marin,Sono Bisque Doll wa Koi wo Suru,Scaled Figure,ANIPLEX+
Pop Up Parade Figure Tobio Kageyama - Haikyuu!!,Sold Out,520000,148,Tobio Kageyama,Haikyuu!,Pop Up Parade,Orange Rouge
Nendoroid Swacchao! Shoyo Hinata - Haikyuu!!,Ready Stock,420000,148,Shoyo Hinata,Haikyuu!!,Nendoroid Swacchao!,Orange Rouge
[Limited Production] Nendoroid Usada Pekora - hololive production,Ready Stock,680000,148,Usada Pekora,hololive production,Nendoroid,Good Smile Company
PVC Figure 1/7 W - Arknights (Re-Release),Late Pre-Order,2450000,149,W,Arknigts,Scaled Figure,APEX
Xiao Vigilant Yaksha Theme Shoulder Bag - Genshin Impact,Ready Stock,600000,148,Xiao,Genshin Impact,Merchandise - Apparel,Mihoyo
PVC Figure 1/7 Shirakami Fubuki - hololive production,Sold Out,2850000,147,Shirakami Fubuki,hololive production,Scaled Figure,Luminous Box
PVC Figure 1/7 Saber / Altria Pendragon (Alter) - Heroic Spirit Traveling Outfit Ver.,Ready Stock,2050000,147,Altria Pendragon,Fate,Scaled Figure,Good Smile Company
Nendoroid Wakatoshi Ushijima,Sold Out,600000,147,Wakatoshi Ushijima,Haikyuu!!,Nendoroid,Orange Rouge
Keqing Metal Bracelet - Genshin Impact,Ready Stock,210000,147,Keqing,Genshin Impact,Merchandise - Stationery,Mihoyo
PVC Figure 1/7 Luna Illustration by YD,Ready Stock,2650000,147,Luna,Original Character,Scaled Figure,Astrum Design
Keqing Smart Bluetooth Speaker with Character Voice Assistant - Genshin Impact,Sold Out,830000,147,Keqing,Genshin Impact,Merchandise - Stationery,Mihoyo
Premium Figure Minato Yukina - BanG Dream Vocalist Collection (20cm),Sold Out,550000,146,Minato Yukina,BanG Dream!,Prize Figure,SEGA
Pop Up Parade Figure Sakura Miko - hololive production,Sold Out,640000,146,Sakura Miko,hololive production,Pop Up Parade,Max Factory
Klee Mini Figure Battlefield Heroes Series (8cm) - Genshin Impact,Sold Out,380000,145,Klee,Genshin Impact,Merchandise - Mini Figure,Mihoyo
Nendoroid Yoshikazu Miyano - Sasaki to Miyano,Ready Stock,640000,145,Yoshikazu Miyano,Sasaki to Miyano,Nendoroid,Orange Rouge
Pop Up Parade Figure Ookami Mio - Hololive Gamers,Sold Out,540000,145,Ookami Mio,hololive production,Pop Up Parade,Good Smile Company
PVC Figure 1/7 Lucia Crimson Abyss - Punishing Gray Raven,Ready Stock,2650000,144,Lucia,Punishing Gray Raven,Scaled Figure,Good Smile Arts Shanghai
[Taito Crane Limited] Coreful Figure Shiro - No Game No Life (18cm),Ready Stock,520000,144,Shiro,No Game No Life,Prize Figure,Taito
[REVIVE] [Cast Off] PVC Figure 1/6 Twintail-chan Illustration by Mappaninatta,Late Pre-Order,3850000,144,Twintail-chan,Original Character,Scaled Figure,Rocket Boy
[REVIVE] Noodle Stopper Figure Kal'tsit / Kaltsit - Arknights (10cm),Sold Out,480000,143,Kal'tsit,Arknights,Prize Figure,FuRyu
Kaedehara Kazuha Moon Paper Carving Lamp (14x10cm) - Genshin Impact,Ready Stock,550000,143,Kaedehara Kazuha,Genshin,Merchandise - Stationery,Mihoyo
PVC Figure 1/8 Archer / Gilgamesh,Sold Out,2650000,143,Gilgamesh,Fate,Scaled Figure,Myethos
[REVIVE] PVC Figure 1/7 Kurumi Tokisaki ~Zafkiel~,Late Pre-Order,2800000,142,Kurumi Tokisaki,Date A Live,Scaled Figure,Good Smile Company
Nendoroid Izuku Midoriya - Stealth Suit Ver.,Ready Stock,770000,142,Izuku Midoriya,Boku no Hero Academia,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Uruha Rushia - hololive production,Ready Stock,750000,141,Uruha Rushia,hololive production,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Gojo Satoru - Mappa Showcase,Late Pre-Order,3450000,141,Gojo Satoru,Jujutsu Kaisen,Scaled Figure,F:NEX
Noodle Stopper Figure Gojo Satoru - Jujutsu Kaisen,Ready Stock,230000,141,Gojou Satoru,Jujutsu Kaisen,Prize Figure,FuRyu
PVC Figure 1/7 Xiao Vigilant Yaksha Ver.- Genshin Impact,Ready Stock,3050000,141,Xiao,Genshin Impact,Scaled Figure,APEX
PVC Figure Rem - Jacket Ver. (23cm),Ready Stock,400000,140,Rem,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Taito
Mechanical Keyboard Keqing Model TTC Moon White Shaft - Genshin Impact,Sold Out,2900000,140,Keqing,Genshin Impact,Merchandise - Stationery,Mihoyo
figma Shiroko Sunaookami - Blue Archive,Sold Out,1380000,140,Shiroko Sunaookami,Blue Archive,figma,Max Factory
PVC Figure Asuna - Shifuku Ver. (18cm),Ready Stock,380000,140,Asuna,Sword Art Online,Prize Figure,Taito
[REVIVE] PVC Figure 1/7 Nian - Unfettered Freedom Ver.,Late Pre-Order,3150000,138,Nian,Arknights,Scaled Figure,AniGift
Pop Up Parade Figure Mori Calliope - hololive production,Ready Stock,700000,138,Mori Calliope,Hololive,Pop Up Parade,Good Smile Company
Nendoroid Koshi Sugawara - Haikyuu!! (Re-Release),Sold Out,1250000,137,Koshi Sugawara,Haikyuu!!,Nendoroid,Orange Rouge
Pop Up Parade Figure Shoyo Hinata - Haikyuu!!,Sold Out,510000,137,Hinata Shoyo,Haikyuu!,Pop Up Parade,Orange Rouge
Nendoroid Shoyo Hinata - The New Karasuno Ver.,Sold Out,1990000,137,Shoyo Hinata,Haikyuu!!,Nendoroid,Orange Rouge
Noodle Stopper Figure Hatsune Miku - Flower Fairy Asagao Ver. (14cm),Ready Stock,350000,138,Hatsune Miku,Vocaloid,Prize Figure,FuRyu
Nendoroid Kaguya Shinomiya - Kaguya-sama: Love Is War (Re-Release),Late Pre-Order,600000,137,Kaguya Shinomiya,Kaguya-sama: Love Is War,Nendoroid,toytec
Elysia Herrscher of Human: Ego Bluetooth Speaker with Character Voice Alarm - Honkai Impact 3rd,Sold Out,590000,137,Elysia,Honkai Impact 3rd,Merchandise - Audio,Mihoyo
Mechanical Keyboard Darkbolt Jonin TTC Sillver Shaft - Honkai Impact 3rd,Ready Stock,2950000,136,Yae Sakura,Honkai Impact 3rd,Merchandise - Stationery,Mihoyo
[REVIVE] PVC TOP Series Figure Blaze - Mitsubayashi Tsuyoshi Ver. (24.5cm),Late Pre-Order,950000,136,Blaze,Arknights,Scaled Figure,Arknights
Pop Up Parade Figure Kanade Yoisaki - Project Sekai Hatsune Miku : Colorful Stage!,Sold Out,580000,136,Kanade Yoisaki,Colorful Stage!,Pop Up Parade,Good Smile Company
Pop Up Parade Figure Inumaki Toge - Jujutsu Kaisen,Ready Stock,480000,136,Inumaki Toge,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
figma Usada Pekora - hololive production,Ready Stock,1200000,135,Usada Pekora,Virtual Youtuber,figma,Max Factory
PVC Figure 1/7 Rikka Takarada ~I believe in future~,Ready Stock,3450000,135,Rikka Takarada,SSSS.GRIDMAN,Scaled Figure,Good Smile Company
"PVC Figure Mizuhara Chizuru - Kanojo, Okarishimasu (18cm)",Sold Out,400000,134,Chizuru Mizuhara,Kanojo Okarishimasu,Prize Figure,Bandai Spirits
SHF S.H.Figuarts Anya Forger - SPY x FAMILY,Sold Out,880000,133,Anya Forger,SPY x FAMILY,SHF,Bandai Spirits
PVC Figure Class Teacher illustration by POPQN,Ready Stock,2400000,133,Class Teacher,Original Character,Scaled Figure,Union Creative
LookUp / Rukappu Suguru Geto - Jujutsu Kaisen (11cm),Sold Out,660000,132,Suguru Geto,Jujutsu Kaisen,Lookup,MegaHouse
[FLASH PO] Coreful Figure Nino Nakano - Seifuku Ver. Renewal (20cm),Late Pre-Order,300000,132,Nino Nakano,Gotoubun no Hanayome,Prize Figure,Taito
Suzume no Tojimari Daijin Plush (28x15cm),Ready Stock,600000,132,Daijin,Suzume no Tojimari,Merchandise - Plush,Tianwen Kadokawa
[REVIVE] PVC Figure 1/8 Yukino Yukinoshita - Oregairu (Re-Release),Late Pre-Order,1950000,132,Yukino Yukinoshita,Yahari Ore no Seishun Love Come wa Machigatteiru,Scaled Figure,Kotobukiya
figma Ronin - FALSLANDER,Sold Out,1250000,131,Ronin,FALSLANDER,figma,Max Factory
PVC Figure 1/8 Kiana Kaslana - Herrscher of the Void Parasol Kaiserin Ver.,Ready Stock,2550000,131,Kiana Kaslana,Honkai Impact 3rd,Scaled Figure,APEX
Raven Midnight Absinthe Shoulder Bag - Honkai Impact 3,Ready Stock,660000,131,Raven,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
[REVIVE] ConoFig Avenger / Jeanne d'Arc (Alter) - Fate/Grand Order,Late Pre-Order,980000,131,Jeanne d'Arc,Fate,ConoFig,ANIPLEX+
[REVIVE] PVC Figure 1/7 Hoshiguma - Wanderer Banner,Late Pre-Order,3850000,131,Hoshiguma,Arknights,Scaled Figure,F:NEX
Noodle Stopper Figure Gojo Satoru - Ending Costume Ver. (15cm),Sold Out,420000,131,Gojo Satoru,Jujutsu Kaisen,Prize Figure,FuRyu
Xiao Halloween Ver. Characters Q Acrylic Stand (8cm) - Genshin Impact,Ready Stock,200000,130,Xiao,Genshin Impact,Merchandise - Acrylic,Mihoyo
[Limited Production] Nendoroid Inugami Korone - hololive production,Ready Stock,640000,130,Inugami Korone,hololive production,Nendoroid,Good Smile Company
Xiao Vigilant Yaksha Theme Umbrella - Genshin Impact,Ready Stock,680000,130,Xiao,Genshin Impact,Merchandise - Apparel,Mihoyo
Pop Up Parade Figure Zero Two - Darling in the Franxx,Ready Stock,520000,130,Zero Two,Darling in the FranXX,Pop Up Parade,Good Smile Company
[with Music Box] PVC Figure 1/1 Hatsune Miku Symphony - 5th Anniversary Ver.,Ready Stock,4250000,129,Hatsune Miku,Vocaloid,Scaled Figure,Good Smile Company
Nendoroid Isagi Yoichi - Blue Lock,Ready Stock,1750000,129,Isagi Yoichi,Blue Lock,Nendoroid,Orange Rouge
Nendoroid Doll Kaguya Shinomiya,Ready Stock,860000,128,Kaguya Shinomiya,Kaguya-sama wa Kokurasetai,Nendoroid Doll,Good Smile Company
Nendoroid Daichi Sawamura - Haikyuu!! (Re-Release),Ready Stock,490000,128,Daichi Sawamura,Haikyuu,Nendoroid,Orange Rouge
PVC Figure 1/7 Ryomen Sukuna - Noroi no Ou Ver.,Ready Stock,3150000,128,Ryomen Sukuna,Jujutsu Kaisen,Scaled Figure,F:NEX
Nendoroid Yukino Yukinoshita - Oregairu (Re-Release),Sold Out,530000,128,Yukino Yukinoshita,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Nendoroid,Good Smile Company
Nendoroid Vox Akuma - NIJISANJI,Ready Stock,840000,128,Vox Akuma,Nijisanji,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Hatsune Miku - Memorial Dress Ver.,Late Pre-Order,5950000,127,Hatsune Miku,Vocaloid,Scaled Figure,Good Smile Company
LookUp / Rukappu Figure Kugisaki Nobara - Jujutsu Kaisen (11cm),Ready Stock,500000,127,Kugisaki Nobara,Jujutsu Kaisen,Scaled Figure,MegaHouse
ARTFX J Figure 1/8 Megumi Fushiguro - Jujutsu Kaisen,Ready Stock,2020000,127,Megumi Fushiguro,Jujutsu Kaisen,Scaled Figure,Kotobukiya
PVC Figure Shirakami Fubuki Relax Time - Hololive If (20cm),Sold Out,320000,127,Shirakami Fubuki,Hololive,Prize Figure,Bandai Spirits
[Exclusive Sale] PVC Figure 1/7 Asuna Ichinose - Bunny Ver. Blue Archive,Ready Stock,4350000,127,Asuna Ichinose,Blue Archive,Scaled Figure,Max Factory
Nagi Seishiro Onemutan - Blue Lock,Ready Stock,150000,127,Nagi Seishirou,Blue Lock,Mini Figure,Stand Stones
Nendoroid Yamada Ryo - Bocchi the Rock!,Pre-Order,570000,128,Yamada Ryou,Bocchi the Rock!,Nendoroid,Good Smile Company
Nendoroid Kanna - Kobayashi-san Chi no Maid Dragon,Ready Stock,880000,127,Kanna,Kobayashi-san Chi no Maid Dragon,Nendoroid,Good Smile Arts Shanghai
FiGURiZM Figure Satoru Gojo - Jujutsu Kaisen (23cm),Sold Out,350000,126,Satoru Gojo,Jujutsu Kaisen,Prize Figure,SEGA
[Taito Crane Limited] PVC Figure Ohto / Ooto Ai - Wonder Egg Priority,Sold Out,450000,126,Ooto Ai,Wonder Egg Priority,Prize Figure,Taito
PVC Figure Milim Nava - Otherworlder Plus Combat Uniform Ver. (20cm),Sold Out,380000,126,Milim Nava,Tensei Shitara Slime Datta ken,Prize Figure,Bandai Spirits
Nendoroid Mai Sakurajima - Seishun Buta Yarou,Sold Out,640000,126,Mai Sakurajima,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Nendoroid,Good Smile Company
ConoFig Ruler / Jeanne d'Arc - Fate/Grand Order,Ready Stock,950000,126,Jeanne d'Arc,Fate,ConoFig,ANIPLEX+
Nendoroid Nadeshiko Kagamihara - Yuru Camp (Re-Release),Ready Stock,780000,125,Nadeshiko Kagamihara,Yuru Camp,Nendoroid,Max Factory
Coreful Figure Yotsuba Nakano - Gotoubun no Hanayome ∬ (20cm),Ready Stock,350000,125,Yotsuba Nakano,Gotoubun no Hanayome,Prize Figure,Taito
Pop Up Parade Figure Kirito - Sword Art Online Progressive,Ready Stock,500000,125,Kirito,Sword Art Online,Pop Up Parade,Good Smile Company
Coreful Figure Megumi Kato - Bunny Ver. (20cm),Ready Stock,300000,125,Megumi Kato,Saenai Heroine no Sodatekata,Prize Figure,Taito
Wonderland Figure Hatsune Miku - Puss in Boots Ver. (18cm),Sold Out,420000,125,Hatsune Miku,Vocaloid,Prize Figure,Taito
PVC Ichiban Kuji 1/7 Miyamoto Musashi - Fate/Grand Order,Sold Out,800000,125,Miyamoto Musashi,Fate,Prize Figure,Banpresto
[Limited Production] Nendoroid Uzui Tengen - Kimetsu no Yaiba,Ready Stock,740000,125,Uzui Tengen,Kimetsu no Yaiba,Nendoroid,Good Smile Company
Nendoroid Sasaki Shumei - Sasaki to Miyano,Ready Stock,660000,125,Sasaki Shumei,Sasaki to Miyano,Nendoroid,Orange Rouge
[Limited Production] Nendoroid Kakashi Hatake - Naruto (Re-Release),Ready Stock,580000,124,Kakashi Hatake,Naruto,Nendoroid,Good Smile Company
PVC Figure 1/7 Blaze - Arknights,Ready Stock,3450000,124,Blaze,Arknights,Scaled Figure,APEX
Nendoroid Kuzuha - NIJISANJI,Ready Stock,1750000,124,Kuzuha,Virtual Youtuber,Nendoroid,Good Smile Company
Pop Up Parade Figure Megumin - KonoSuba (Re-Release),Sold Out,490000,124,Megumin,Kono Subarashi ni Sekai ga Shukufuku wo,Pop Up Parade,Good Smile Company
Pop Up Parade Figure Amamiya Ren / Joker - Persona 5 the Animation (Re-Release),Sold Out,540000,124,Amamiya Ren,Persona,Pop Up Parade,Good Smile Company
Artist Master Piece Figure Kitagawa Marin - Shizuku Ver. Sono Bisque Doll wa Koi wo Suru (15cm),Late Pre-Order,350000,124,Kitagawa Marin,Sono Bisque Doll wa Koi wo Suru,Prize Figure,Taito
Nendoroid Kanae - NIJISANJI,Ready Stock,700000,123,Kanae,Virtual Youtuber,Nendoroid,Good Smile Company
Nendoroid Ijichi Nijika - Bocchi the Rock!,Pre-Order,740000,126,Ijichi Nijika,Bocchi the Rock!,Nendoroid,Good Smile Company
[Exclusive Sale] [Cast Off] PVC Figure 1/6 Eve LOVECALL illustration by rurudo,Ready Stock,3250000,122,Eve,Original Character,Scaled Figure,Pink Charm
Nendoroid Swacchao! Gojo Satoru - Jujutsu Kaisen,Ready Stock,360000,122,Gojo Satoru,Jujutsu Kaisen,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Nekomata Okayu - hololive production,Ready Stock,640000,122,Nekomata Okayu,hololive production,Nendoroid,Good Smile Company
Portrait Of Pirates POP WA-MAXIMUM Figure Yamato,Ready Stock,4250000,122,Yamato,One Piece,Scaled Figure,MegaHouse
[Exclusive Sale] Nendoroid Jabami Yumeko - Kakegurui (Re-Release),Ready Stock,840000,121,Jabami Yumeko,Kakegurui,Nendoroid,Good Smile Company
PVC Figure Rimuru Tempest - Otherworlder Vol. 13 (18cm),Sold Out,300000,121,Rimuru Tempest,Tensei Shitara Slime Datta ken,Prize Figure,Bandai Spirits
DXF Figure Monkey D. Luffy - The Grandline Series Wanokuni Vol. 4 (18cm),Sold Out,280000,121,Monkey D. Luffy,One Piece,Prize Figure,Bandai Spirits
Pop Up Parade Figure Rina Tennoji - Love Live! Nijigasaki High School Idol Club,Sold Out,520000,121,Rina Tennoji,Love Live! Nijigasaki Gakuen School Idol Doukou Kai,Pop Up Parade,Good Smile Company
