Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
[REVIVE] Nendoroid Saitama - One Punch Man,Late Pre-Order,850000,104,Saitama,One Punch Man,Nendoroid,Good Smile Company
Pop Up Parade Figure Coconut - Nekopara,Ready Stock,540000,104,Coconut,Nekopara,Pop Up Parade,Good Smile Company
PVC Figure Hatsune Miku - Original Shifuku Ver. (12cm),Ready Stock,380000,104,Hatsune Miku,Vocaloid,Prize Figure,Taito
[REVIVE] Shibuya Scramble Figure 1/7 Rimuru Tempest - Ultimate Ver.,Late Pre-Order,5850000,104,Rimuru Tempest,Tensei Shitara Slime Datta ken,Scaled Figure,eStream
[REVIVE] PVC Figure 1/7 Exusiai - Elite 2 / II Ver.,Late Pre-Order,3250000,104,Exusiai,Arknights,Scaled Figure,Good Smile Arts Shanghai
ARCTECH Action Figure 1/8 Bianca - Veritas Ver. Punishing Gray Raven,Ready Stock,2150000,104,Bianca,Punishing Gray Raven,Action Figure,APEX
[FLASH PO] Pop Up Parade Figure Ame-chan / OMG Kawaii Angel - Needy Streamer Overload (Re-Release),Late Pre-Order,510000,104,Ame,Needy Streamer Overload,Pop Up Parade,Good Smile Company
PVC Figure Hatsune Miku - Winter Live Vocaloid (18cm),Ready Stock,400000,103,Hatsune Miku,Vocaloid,Prize Figure,Taito
Nendoroid Saber Alter - Super Movable Edition,Sold Out,580000,103,Saber,Fate,Nendoroid,Good Smile Company
Espresto Figure Jigoku no Fubuki - One Punch Man (18cm),Sold Out,340000,103,Jiguki no Fubuki,One Punch Man,Prize Figure,Bandai Spirits
[Taito Crane Limited] Coreful Figure Senjougahara Hitagi - Bakemonogatari (18cm),Ready Stock,480000,103,Senjougahara Hitagi,Monogatari Series,Prize Figure,Taito
Q Version Mini Figure Trailblazer Female / Stelle Pom-Pom Ver. Train Tea Party (8cm) - Honkai: Star Rail,Late Pre-Order,350000,103,Trailblazer Female,Honkai: Star Rail,Mini Figure,RIBOSE
Zhongli Capsule Collection Figure Vol. 2 - Genshin Impact,Sold Out,150000,103,Zhongli,Genshin Impact,Mini Figure,Bushiroad
Coreful Figure Albedo - T-Shirt Swimsuit Ver. Overlord (18cm),Ready Stock,380000,103,Albedo,Overlord,Prize Figure,Taito
Pop Up Parade Figure Anya Forger - SPY x FAMILY,Ready Stock,480000,103,Anya Forger,SPY x FAMILY,Pop Up Parade,Good Smile Company
Nendoroid L / Lawliett / Ryuzaki 2.0 - Death Note (Re-release),Ready Stock,800000,103,L,Death Note,Nendoroid,Good Smile Company
bilipods POPO TWS Bluetooth Hatsune Miku,Ready Stock,550000,103,Hatsune Miku,Vocaloid,Merchandise - Audio,bilipods
Coreful Figure Sakurajima Mai - Summer Dress Ver. (20cm),Sold Out,360000,102,Sakurajima Mai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Prize Figure,Taito
Nendoroid Renge Miyauchi - Non Non Biyori (Re-Release),Ready Stock,620000,102,Renge Miyauchi,Non Non Biyori,Nendoroid,Good Smile Company
